Horodateur,Communities you identify with,How often do you use Refine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with Refine,If other please specify,How large are the data sets you often deal with when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using Google Refine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of Refine are you currently using?,For how long have you been using refine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify
10/10/2012 17:25:07,"Open data enthusiasts, Government data enthusiasts",Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,"JSON, XML, hierarchical in nature",,,"Spreadsheet, Export from a database",,,,4,,,,,,,,,,,,,,More than 2 years,,,,,,,
10/10/2012 17:38:13,Data journalists,Once or twice a week,,"Business, Survey, Scientific",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,A few hundred rows,XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,Spreadsheet,,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,2,Maybe,User support (FAQ),,,,Executable version (I've downloaded Refine and use it as is),,,,2,,02/05/2012,1 to 2 years,no,,no,,No extension,,
10/10/2012 22:42:27,"Open data enthusiasts, Research Purpose",Everyday,,"Survey, Scientific",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Scripting,,"Visualization, e.g., Fusion Table, Tableau",,2,4,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ)",,"platform-independent code, some out-of-the-box/easy transformations",Some Excel-clones.,Against the development version,"""A neat tool to clean up data""","had more integrated extensions, such as native RDF/SPARQL support (instead of the current buggy one).",,5,Keep up the hard work. This is a nice tool. We'll meet again.,"Development, from svn",Less than 6 months,no,,no,,RDF extension,,
10/10/2012 23:15:51,"Open data enthusiasts, Government data enthusiasts, Research Purpose",Everyday,,"Business, Scientific, Programming",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Taxonomy/Metadata",,"100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database, ETL tools like Kettle, Pentaho, ...",,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,3,Count me in!,"Development, Documentation (wiki, tutorials ...), User support (FAQ)",,"It's Google, it does the job I need it to do.",Excel and Talend,Executable version (I've downloaded Refine and use it as is),"As a speedy data knowledge, manipulation, and enrichment tool.","Would let me interlink Projects, so I could (for example) perform a lookup on a different project, in a formula. ",,7,,02/05/2012,6 to 12 months,no,,,,RDF extension,,
10/10/2012 23:27:20,"Open data enthusiasts, Government data enthusiasts, Research Purpose",First Time User,,"Survey, Scientific, Other",movies and book databases ;-),Other,incomplete data completion with google,A few hundred rows,XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,Spreadsheet,,,,3,1,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ)","I am not a programmer, don't even know how to use this stuff correctly, will be happy to learn and transmit waht I learn (am a good trasmitter, if I may so in English)","Easy to use, easy to access, easy to share, lots of people using it",,Executable version (I've downloaded Refine and use it as is),"I would say : ""see the tutorial, it's great""","was free and used widely, and documented, and we'd organize workshops to learn from the power users",,1,@squintar & @deuxieme_labo on Twitter,2,1 to 2 years,no,not yet ;-),,,No extension,,
10/10/2012 23:54:07,Open data enthusiasts,Everyday,,Survey,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"1,000s of rows, 10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Spreadsheet,,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,1,2,Maybe,"Documentation (wiki, tutorials ...)",,,,Executable version (I've downloaded Refine and use it as is),,,,2,,02/05/2012,Less than 6 months,no,,no,,No extension,,
10/10/2012 23:57:25,Research Purpose,Once or twice a week,,"Business, Other",Social networking sites ,"Understanding data you don't own, Other",Collecting data from websites for research purposes,"1,000s of rows","XLS/CSV/TSV/Tabular in nature, Other",html,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,2,1,Not Interested,,,Extending columns by fetching URLs,Individually programmed,Executable version (I've downloaded Refine and use it as is),Enables automatized collection of large data sets,could use my login to social networking sites so I could fetch urls being logged in.,,1,Excellent tool!,02/05/2012,6 to 12 months,no,,,,,,
11/10/2012 00:38:34,"Open data enthusiasts, Government data enthusiasts, Research Purpose",A few times a month,,Other,Educational and governmental datasets,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"1,000s of rows","JSON, XML, hierarchical in nature, Other",RDF,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet",,Load into database,,2,5,Maybe,"Documentation (wiki, tutorials ...), User support (FAQ)",,Power and ease of use. General applicability,?,Executable version (I've downloaded Refine and use it as is),Data munger,"Would be available as a server or middleware. i.e. that I can run a set of operations automagically on fresh data from source, and have the results available at some known URL for further processing/loading",,3,,02/05/2012,More than 2 years,no,,,,RDF extension,,
11/10/2012 00:41:32,"Data journalists, Open data enthusiasts, Government data enthusiasts, Research Purpose, Cultural Heritage Data Enthusiast",Once or twice a week,,"Scientific, Programming, Other",Social network; open public data,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"A few hundred rows, 1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Other","Graph formats - graphml,gdf","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Export from a database",,"Scripting, Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,3,4,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ), Other",Example use cases.,Browser based; facetting;reconciliation; custom tabular export,Python script and scraperwiki,Executable version (I've downloaded Refine and use it as is),Great tool for getting data sets into a state where you can actually use them,"...did some obvious things rather more easily, like deduping.",,5,,02/05/2012,More than 2 years,no,,,,RDF extension,,
11/10/2012 04:44:06,"Open data enthusiasts, Government data enthusiasts, Research Purpose, Cultural Heritage Data Enthusiast, For Profit",Everyday,,"Business, Survey",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Spreadsheet, Export from a database",,"Load into database, Visualization, e.g., Fusion Table, Tableau",,4,2,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ)",,,,Executable version (I've downloaded Refine and use it as is),,,,3,,02/05/2012,Less than 6 months,no,,no,,No extension,,
11/10/2012 11:06:44,Data journalists,Once or twice a week,,"Business, Survey, Scientific, Other",web scraping results,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",,"A few hundred rows, 1,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,2,Not Interested,,,advanced cell/column transformation tools,"Excel, Python",Executable version (I've downloaded Refine and use it as is),A tool to clean up data,could show more rows at a time ;-),,3,,02/05/2012,1 to 2 years,yes,,,,No extension,,
11/10/2012 15:28:26,"Research Purpose, Other",Once or twice a week,We've been using Google Refine to clean and geocode 170k MARC records for the Library of Congress OWI/FSA Photo collection,"Scientific, Other","Digital Humanities, GIS","Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Other",Geocoding,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,,"Export from a database, ETL tools like Kettle, Pentaho, ..., Other","ArcGIS, Safe FME","Load into database, Other",ArcGIS,3,1,Maybe,"Documentation (wiki, tutorials ...), Other","I'm such a baseline user, I don't know how I could help. I've used it for some important projects, but I generally spend 10 times as much time trying ti figure out HOW to do something, as I do do it. I could, perhaps, evaluate tutorial materials from the perspective of a novice, non-programmer?","Geocoding, clustering ","Excel, CSVed",Executable version (I've downloaded Refine and use it as is),"I tell them to watch the 3 videos on the Refine page and warn them that they will hear the ""AAAAAAAAHHHHHHHHH"" of angels singing when they realize how much easier their life will be, working with 'dirty' data in Refine.",Had more tutorials and could handle larger datasets.,,1,,02/05/2012,6 to 12 months,no,,,,No extension,,
11/10/2012 16:38:55,"Data journalists, Open data enthusiasts, For Profit",A few times a month,,"Business, Scientific, Programming, Other",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows, 1,000,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database, Other",Scraping,"Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,3,3,Maybe,"Documentation (wiki, tutorials ...), Other",filing bug reports,"easy to use cleaning mechanisms, easy to use data enrichement (esp. with freebase)","VBA scripts in Excel, Python, my brain",Executable version (I've downloaded Refine and use it as is),"It's a poweful tool for cleaning, converting and enriching data.","... would sit in the cloud, maybe as part of Docs or Fusion Tables - and integrated with the fantastic (and painfully missed) Needlebase.",,3,,02/05/2012,6 to 12 months,yes,"Well, we're sending the datasets back und forth by mail. We're not doing it very often, because it's quite annoying.",,,"No extension, Other",,"I'm sure I'll be using some of them in the future (esp. Python Client Library, possibly LOD2)"
11/10/2012 17:53:49,"For Profit, Other",A few times a month,"Don't like saying it is truly ""for profit"" as it is indirect -- just another tool I use to do my job, along with perl, etc, etc.",Business,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"10,000s of rows, 100,000s of rows, 1,000,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database",,3,3,Not Interested,,,Power and ability to integrate web queries,"Perl, most likely",Executable version (I've downloaded Refine and use it as is),Powerful data manipulation tool with a fairly short learning curve for basic functionality,could read my mind?,,4,,02/05/2012,More than 2 years,no,,no,,No extension,,
11/10/2012 19:29:41,"Open data enthusiasts, Research Purpose, For Profit",A few times a month,,"Survey, Scientific",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",,"100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Export from a database",,"Scripting, Load into database, Visualization, e.g., Fusion Table, Tableau",,1,4,Count me in!,User support (FAQ),,The ease of cleaning up the data,,Executable version (I've downloaded Refine and use it as is),,,,5,,02/01/2012,More than 2 years,no,,,,No extension,,
12/10/2012 03:26:54,"Data journalists, Open data enthusiasts, Government data enthusiasts, Research Purpose",A few times a month,,"Survey, Scientific, Programming",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Visualization, e.g., Fusion Table, Tableau",,3,4,Maybe,"Documentation (wiki, tutorials ...), User support (FAQ)",,It's focus on cleaning data and availability of JSON files to reproduce data cleaning procedures.,Microsoft Excel or R scripts.,Executable version (I've downloaded Refine and use it as is),A tool used to clean data.,"Could handle large (50,000+ rows) data sets without issues.",,6,,02/05/2012,1 to 2 years,no,,,,No extension,,
12/10/2012 06:35:50,,Everyday,Data scientist,"Business, Scientific, Programming",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Taxonomy/Metadata",,"10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Visualization, e.g., Fusion Table, Tableau",,2,4,Count me in!,"Documentation (wiki, tutorials ...)",,"Open source, easy to handle, browserbased, for free",excel,Executable version (I've downloaded Refine and use it as is),the weapon of choice to manage data,offer a visualization library (D3 or Raphael) to visualize data. The heap usage sucks ... I can't modify the setting .... would be cool to have the option to choose for each project the amount of memory you want to use. ,,4,,02/05/2012,1 to 2 years,yes,We exchanged the project file to enrich and clean the dataset,no,,Other,,Statistics extension by The Texas Tribune
12/10/2012 10:34:21,"Data journalists, Open data enthusiasts, For Profit",A few times a month,,Other,"list of gov data, of point of interest, of political parties","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",,"10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Spreadsheet, Other",scraperwiki,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,2,Maybe,"Development, Other",usability dev,"scale, offline, free, usability","datawrangler, regex, excel",Executable version (I've downloaded Refine and use it as is),washing machine for data,get a lite version for teaching training with maybe to 10 operations everybody needs,,2,,02/05/2012,1 to 2 years,no,,no,,No extension,,
12/10/2012 11:14:19,"Open data enthusiasts, Research Purpose",A few times a month,,Scientific,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"1,000s of rows, 10,000s of rows, 100,000s of rows, 1,000,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,3,Not Interested,,,Haven't found any other tool that does the kind of job that i want in terms of reorganising and structuring data,,Executable version (I've downloaded Refine and use it as is),a bit like excel but let's you filter and understand the data more easily. ,,,4,,02/05/2012,More than 2 years,no,,,,No extension,,
12/10/2012 16:32:07,"Data journalists, Open data enthusiasts, Government data enthusiasts",A few times a month,,"Business, Other","Government information of all types, environmental, business, Homeland Security, etc.","Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,3,,,,,,Executable version (I've downloaded Refine and use it as is),,,,3,,02/05/2012,1 to 2 years,yes,,,,No extension,,
12/10/2012 16:45:38,"Cultural Heritage Data Enthusiast, Other",Once or twice a week,"University Archives databases, ",Other,"University archive databases, checksum databases, making and refining of lists","Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows","XLS/CSV/TSV/Tabular in nature, Specialized formats, e.g., MARC, Other","Excel, Access, ","XLS/CSV/TSV/Tabular in nature, Specialized formats, e.g., MARC, Other","Excel, Access",,"Spreadsheet, Export from a database",,Load into database,,2,2,Maybe,Other,I wish I could - I don't believe I am qualified enough to do much...,Refine's facet tool has been quite helpful for normalizing data. The ability to split and merge variant cell data of large lists...,This was the first I've tried,Executable version (I've downloaded Refine and use it as is),powerful tool for refining data sets,"would have a ""merge columns"" quick tab as there is for merge cells. As a non-programmer, it took me a week to figure out 
cells[""Column 1""].value + cells[""Column 2""]
which now seems simple - but, it would be even better if there was a walk-through box as there is for ""cells"" where I can choose the separating character when merging entire columns.",,1,,02/05/2012,Less than 6 months,no,,,,No extension,,
13/10/2012 07:47:45,,Everyday,,"Business, Survey, Scientific, Programming, Other",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata, Other",,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows, 1,000,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC, Other",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC, Other",,,"Scripting, Spreadsheet, Export from a database, ETL tools like Kettle, Pentaho, ..., Other",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau, Other",,5,5,Count me in!,"Development, Documentation (wiki, tutorials ...), User support (FAQ), Other",,,,Against the development version,,,,7,,"Development, from svn",More than 2 years,no,,no,,"No extension, RDF extension, Open Reconcile, LOD2, Python Client Library, Other",,
13/10/2012 13:12:17,For Profit,Everyday,,"Business, Scientific",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"100,000s of rows",Other,RDF,"XLS/CSV/TSV/Tabular in nature, Other",RDF,,"Scripting, ETL tools like Kettle, Pentaho, ...",,"Load into database, Other",Our OWN ETL pipeline. Google Refine is scripted via a python library.,4,4,Maybe,Development,paid development,"Easy to use, open source, extensible",,Executable version (I've downloaded Refine and use it as is),,"Can scale to deal with huge dataset, run on distributed environments like map reduce",,4,,02/05/2012,More than 2 years,yes,,no,,"RDF extension, Python Client Library",,
13/10/2012 14:34:46,Government data enthusiasts,A few times a month,,"Business, Scientific",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,"100,000s of rows, 1,000,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Load into database, Visualization, e.g., Fusion Table, Tableau",,3,3,Maybe,"Documentation (wiki, tutorials ...)",,"its like a swiss knife for data (lot of features)
given enough RAM it will load anything
easy export in popular formats
powerful tools to clean data",talend or pentaho or some custom python script,Executable version (I've downloaded Refine and use it as is),swiss knife of data wrangling,easy way to run like a server with a bit of security,,4,,02/05/2012,More than 2 years,no,,,,"RDF extension, LOD2",,
14/10/2012 18:50:26,"Open data enthusiasts, Government data enthusiasts, Research Purpose",A few times a month,,Other,Government Data,"Normalizing data (e.g., fixing spelling mistakes)",,"10,000s of rows","XLS/CSV/TSV/Tabular in nature, Other",Stata,"XLS/CSV/TSV/Tabular in nature, Other",Stata,,"Scripting, Spreadsheet, Export from a database, Other",Stata,"Spreadsheet, Other",Stata,3,3,Maybe,User support (FAQ),,,,Executable version (I've downloaded Refine and use it as is),,,,5,,02/05/2012,Less than 6 months,yes,,,,No extension,,
14/10/2012 23:09:02,"Open data enthusiasts, Research Purpose",Once or twice a week,,Scientific,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,1,Maybe,"Documentation (wiki, tutorials ...), User support (FAQ)",,,R_CRAN,Executable version (I've downloaded Refine and use it as is),,,,,,02/05/2012,1 to 2 years,no,,,,"RDF extension, Open Reconcile",,
14/10/2012 23:12:12,"Data journalists, Cultural Heritage Data Enthusiast, Other",First Time User,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,More than 2 years,,,,,,,
15/10/2012 11:52:33,"Data journalists, Open data enthusiasts, For Profit",Once or twice a week,,Business,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,"1,000s of rows","JSON, XML, hierarchical in nature, Other",RDF with DERI's plugin,XLS/CSV/TSV/Tabular in nature,,,Scripting,,Load into database,,3,2,Maybe,Development,,Simple and powerful,,Executable version (I've downloaded Refine and use it as is),A tool for data curation,Can do smushing too,,6,,02/05/2012,More than 2 years,yes,Use other people's rules (undos get saved for reuse),,"The startup shell script, it has bashisms","RDF extension, Python Client Library",,
18/10/2012 17:44:41,"Data journalists, Research Purpose, For Profit",Everyday,,"Business, Survey, Programming",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Taxonomy/Metadata",,"1,000s of rows, 10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database, ETL tools like Kettle, Pentaho, ...",,"Scripting, Spreadsheet, Load into database",,2,3,Maybe,User support (FAQ),,easy to use,none,Executable version (I've downloaded Refine and use it as is),a tool for data debugging,support more rows of data and gets faster,,4,,02/05/2012,Less than 6 months,no,,,,"RDF extension, Open Reconcile",,
19/10/2012 00:49:45,"Open data enthusiasts, Government data enthusiasts, Research Purpose, Cultural Heritage Data Enthusiast, Other",Everyday,"museum data enthusiast, natural history data enthusiast","Scientific, Other",museum data,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Spreadsheet, Export from a database",,"Spreadsheet, Load into database, Other",ArcGIS,2,2,Maybe,"Documentation (wiki, tutorials ...), User support (FAQ)",,"Ease of Use, can have multiple users, allows easy combining of spellings, visualization of counts",Not sure,Executable version (I've downloaded Refine and use it as is),Awesome data cleaning and reconciling tool,,,2,,02/05/2012,Less than 6 months,yes,Multiple checks of the same data to insure clean data and higharchies are correct,,,No extension,,
19/10/2012 03:52:52,For Profit,Once or twice a week,,Business,,"Preparing data to load into some database, e.g., Freebase, Other","Standardizing and cleaning 'subscriber lists' provided from third parties, in preparation for import to MySQL databases","1,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Scripting, Load into database",,3,3,Maybe,"Development, Documentation (wiki, tutorials ...)",,"Easier interface, catered to the task at hand. Easily programmable / scriptable transformations",Spreadsheet,Executable version (I've downloaded Refine and use it as is),"Power-tool for cleaning, collating and cross-referencing data","... allowed pinning your custom transformations to the column-header menu

... allowed staying within the custom transformation window after applying a transformation. I often run multiple transformations on the same column, sequentially (e.g. fixing various phone number formatting issues)",,6,Thanks for all the hard work!,02/05/2012,Less than 6 months,no,,,,No extension,,
21/10/2012 10:11:38,"Open data enthusiasts, Research Purpose, For Profit",A few times a month,,"Business, Survey",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Taxonomy/Metadata",,"1,000s of rows, 100,000s of rows, 1,000,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Scripting,,"Scripting, Spreadsheet, Load into database",,2,4,Maybe,"Development, Documentation (wiki, tutorials ...)",,"Easy ""filter, review, and change/normalize"" life cycle.","Scripts, Excel etc.",Executable version (I've downloaded Refine and use it as is),Make data usable.,Would stay active and flourish as it's an indispensable tool for every data geek.,,7,,02/05/2012,More than 2 years,no,,no,,No extension,,
