Horodateur,Communities you identify with,How often do you use OpenRefine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with OpenRefine,If other please specify,What is the average size of your dataset when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using OpenRefine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of OpenRefine are you currently using?,For how long have you been using OpenRefine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify,Which channel do you use when you need support?,How would you rate the quality of support from those channel [OpenRefine mailing list],"How would you rate the quality of support from those channel [Other online community (stackoverflow, discussion board ....)]",How would you rate the quality of support from those channel [I ask someone I know (friends or coworker)],How would you rate the quality of support from those channel [I attend formal training],How would you rate the quality of support from those channel [I learn by myself],How responsive each channel is when you seek support [OpenRefine mailing list],"How responsive each channel is when you seek support [Other online community (stackoverflow, discussion board ....)]",How responsive each channel is when you seek support [I ask someone I know (friends or coworker)],How responsive each channel is when you seek support [I attend formal training],How responsive each channel is when you seek support [I learn by myself],Do you use plugin or extension?,Which version of OpenRefine do you run?,What is your experience with bug fix and feature request [bug fix (ie OpenRefine is broken)],What is your experience with bug fix and feature request [feature request (ie add a new functionality / behaviour)],Can you provide more when you reported something or asked for support and things didn't move as whished?,Would you be interested in an hosted/cloud version of OpenRefine,Why?
21/07/2014 17:06:53,crime analyst,Everyday,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,Being able to repeat actions as well as batch editing.,"Excel, probably.",,"Like filtering/sorting and data cleaning in Excel on steroids, and once you do it the first time, you can repeat it over and over with just a few clicks! I've exposed a few colleagues to it but I don't know that they've really picked it up. At some point I'd like to put together a webinar or short presentation on specifically using OR for crime analysis. ",,,,"OR is essential to my workflow and saves me hours each week. I have no skills/knowledge in development, so I can't help there, but I would gladly donate money to support the community. ",,More than 2 years,,,,,,,,,Answer the question and went beyond expectation,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,Immediate answer,I have to wait to get my answer,Not using this channel,Not using this channel,Immediate answer,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS",Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"I'd be really interested if there was a way to start a project on one machine and finish/work on it on another, though some of the data I work with is crime data and needs to stay local on my machine. "
21/07/2014 17:08:50,For Profit / Business,Everyday,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,The ability to handle massive data sets,Hacking something together myself ,,Mid point between excel and a database ,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,Because I am modifying sensitive business data I would be wary uploading it anywhere.
21/07/2014 19:30:03,Librarians,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,4,,,,Ease of use; Powerful enough to do what I need in most cases,"Depends on the problem. I might use Unix command line tools (grep, sort, uniq), text editor, spreadsheet, Google Fusion, write scripts to manipulate data.",,"I do some training on using OpenRefine and tend to use examples as a way of explaining what it can do, rather than trying to describe it.",,,,"The main regret I have is that I'm not in a position to contribute more to the ongoing development of OpenRefine directly (i.e. writing code), as I don't feel I have the expertise or experience.

Sometime the possibility of offering money for a development to be made is raised - I wonder if implementing a mechanism by which users could easily contribute money towards specific developments would make this a more likely action and enable users to club together to get some specific development completed.

However, perhaps the most productive thing that could happen at the moment would be to get OpenRefine 2.6 from beta to release",,More than 2 years,,,,,,,,,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,I have to wait to get my answer,Not using this channel,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,OpenRefine 2.6,"I reported something, it is fixed and I am happy",I reported something and nothing happen,,no,I'm happy running it locally
21/07/2014 19:45:35,Research Purpose,Less than once a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,2,,,,"The changes in the process are easy to rollback, making it convenient to deal with them without fear of wasting time, cornering yourself into inconvenient state, etc.",,,Spreadsheet with helpful features to adjust and normalize the data.,,,,,,1 to 2 years,,,,,,,,,,,,,The answer was a lead and I needed to explore based on it,,,,,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,,,,,
21/07/2014 22:22:34,Librarians,A few times a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,2,,,,Free. Easy. Works well. The trick about taking groups of 3 rows and making them into columns is awesome.,"Vantage Point some, some scripting using R or Python",,data cleanuptool.,,,,,,6 to 12 months,,,,,,,,,Not using this channel,I got an answer and it is working,The answer was a lead and I needed to explore based on it,Not using this channel,I got an answer and it is working,Not using this channel,I have to wait to get my answer,I found a solution before my request been answered,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,A big attraction for me is to have it all local for sensitive/proprietary data
22/07/2014 09:50:07,Open Data / Government enthusiasts,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,,,,,,,,,,,,4,,,,,,,,,,,,,More than 2 years,,,,,,,,,Answer the question and went beyond expectation,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Answer the question and went beyond expectation,,,,,,RDF extension - by DERI,OpenRefine 2.6,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,,yes,
22/07/2014 13:41:38,For Profit / Business,Everyday,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,4,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Immediate answer,Not using this channel,Not using this channel,I have to wait to get my answer,"RDF extension - by DERI, a custom reconciliation extension",I build against the development version,"I reported something, it is fixed and I am happy","I have nothing to report, I am happy how things are.",,no,
22/07/2014 16:33:57,Librarians,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,2,,,,,,,,,,,,,Less than 6 months,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Immediate answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,"The main draw of OpenRefine for me is that it's free and I can manage it myself, so hosting/cloud versions of the software would be less ideal."
22/07/2014 17:53:01,Digital Humanities,Once or twice a week,,,,"Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,3,,,,,,,A powerful tool to clean up your messy data.,,,,,,Less than 6 months,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,The answer was a lead and I needed to explore based on it,Not using this channel,I got an answer and it is working,Not using this channel,I found a solution before my request been answered,No response to my question,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"Wouldn't be useful to my project, but it would be valuable for quick jobs and for those who are not prepared / capable / willing to run the webapp locally."
22/07/2014 20:02:51,Open Data / Government enthusiasts,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,2,,,,Opensource,,,Tool to clean data,,,,,,Less than a month,,,,,,,,,Not using this channel,Not using this channel,I got an answer and it is working,I got an answer and it is working,I got an answer and it is working,Not using this channel,Not using this channel,Immediate answer,Immediate answer,Immediate answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,To be able to get people trying it faster.
23/07/2014 09:25:49,Semantic Web,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,5,,,,"Big datasets, session managing, etc/","tabels: http://idi.fundacionctic.org/tabels
tarql: https://github.com/cygri/tarql",,a tool to work with messy data,,,,,,More than 2 years,,,,,,,,,I got an answer and it is working,The answer was a lead and I needed to explore based on it,I got an answer and it is working,Not using this channel,Answer the question and went beyond expectation,I have to wait to get my answer,I found a solution before my request been answered,I have to wait to get my answer,Not using this channel,Immediate answer,"DBpedia extension - by Zemanta, LMF Extension- by Salzburg Research, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",OpenRefine 2.6,"I reported something, it is fixed but not how I expected",I reported something and nothing happen,,yes,"We already do, to provide support to a customer to check and tune the transformations."
23/07/2014 10:07:57,Semantic Web,Less than once a month,,,,Data transformation (one format to another),,,,,,,,,,,,,4,,,,,,,,,,,,,Less than 6 months,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Immediate answer,Immediate answer,Not using this channel,Immediate answer,RDF extension - by DERI,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"Maybe it would be useful to have all the projects in the cloud, since I work on more than one computer. "
23/07/2014 10:48:28,Research Purpose,Less than once a month,,,,"Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,3,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,for occassional use
23/07/2014 10:48:52,Research Purpose,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,"Local host. Neat refining of data, from OCRd snurres ie.",Cut/paste... ,,Pure genius piece of software which enable user control and closeness to data - as well as metadata context. Opening stories untold in data I thought I knew.,,,,A clever tool for teaching history from ie. archives.,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,"DBpedia extension - by Zemanta, RDF extension - by DERI",OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.","I do not report, as I am happy to use the software, and for you keeping it open. I see several comments which seem to tell more of user limits than software limitations... This really is a compliment to the builders for creative a very useful and needed tool. My sincere thanks and respect to creators and codevelopers!",yes,"Would be a second choice, cater for sharing of data."
23/07/2014 13:29:27,Data journalists,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,Answer the question and went beyond expectation,Not using this channel,I found a solution before my request been answered,I found a solution before my request been answered,Not using this channel,I found a solution before my request been answered,,,,,,,
23/07/2014 21:34:29,Open Data / Government enthusiasts,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,"documentation, tutorials, community of users.
powerful, self-hosted, cross-platform.
free.",LibreOffice,,"I love this software!

I just describe its features and functionalities!",,,,"keep up that good work!!!

thank you sooo much!!!",,Less than 6 months,,,,,,,,,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Answer the question and went beyond expectation,Not using this channel,I found a solution before my request been answered,Not using this channel,Not using this channel,I found a solution before my request been answered,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,privacy concerns.
23/07/2014 22:30:27,Research Purpose,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,1,,,,,,,,,,,,,6 to 12 months,,,,,,,,,,,,,,,,,,,,OpenRefine 2.6,,,,yes,
23/07/2014 22:52:47,For Profit / Business,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,3,,,,"- automation (I can save steps in to JSON)
- unlimited UNDO, this encourages to explore
- instant CSV/TSV export with selected columns, I use this all the time","mysql functions / procedures, excel, text editors, programming/scripting 

sometimes Cognos tools. ",,"I use OpenRefine to cleanse and transform data to format I need. This means: get rid of obsolete columns, change column order and distribute original material to two or more files in a parent and child fashion. 

You can think OpenRefine as an Excel sheet, but you are not limited to few thousand rows and lose performance and hang your computer. Instead, you can use scripting, backup your project with every step to your colleagues and even help me to remember what was done and why. Most of the time the beauty of the tool is that you DON'T have to use scripting. The most common tasks are easily done just using your mouse. 

The possibility to redo steps again is very handy, when customer sends updates of the same data. You can even load multiple files at the same time, if they are in the same format. ",,,,,,1 to 2 years,,,,,,,,,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,I have to wait to get my answer,Not using this channel,,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.",I reported something and nothing happen,"Reconcilation against CSV (e.g. Excel's VLOOKUP) wasn't possible without programming. I think that could be done in a generic way, but nobody hasn't done it (AFAIK not yet). ",no,The data I transform isn't my own and it's confidential. Working locally makes (legal) things easier. 
23/07/2014 22:58:19,Librarians,Less than once a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,3,,,,The Price! I also like that it is hosted on my personal computer and requires no additional hardware or licensing fees.,Not sure,,Awesome tool for working with problematic data.,,,,"I am not a daily user of OpenRefine unless I'm working on a specific project. But I had a big project for work this spring and OpenRefine was an absolute lifesaver. I am sure I will have more projects where it will come in handy. I don't have the time and expertise to work at the developer level, but I hope it remains a viable tool since it is so powerful and accessible.",,6 to 12 months,,,,,,,,,I got an answer and it is working,I got an answer and it is working,I got an answer and it is working,Not using this channel,I got an answer and it is working,I have to wait to get my answer,I have to wait to get my answer,I have to wait to get my answer,Not using this channel,Immediate answer,Diff plugin- by VIB-BITS,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,"Only if it allows super processing power beyond what's available on my computer. The physical memory on my computer is the chokepoint for more intensive uses of OpenRefine. And only if it's a very low cost that someone higher up than me can justify paying. In other words, probably not."
23/07/2014 23:15:17,For Profit / Business,Less than once a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,,,,,,,,,,,,3,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,,Not using this channel,Immediate answer,I don't use plugin or extension,I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
24/07/2014 01:09:20,Open Data / Government enthusiasts,Less than once a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,3,,,,,,,,,,,,,6 to 12 months,,,,,,,,,,,,,,,,,,,I don't use plugin or extension,,,,,no,
24/07/2014 01:58:01,Data Scientist,Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,4,,,,Its just way better and free,TriFacta,,Messy Data Wrangler,,,,I would like to pay for features and custom scripts.,,1 to 2 years,,,,,,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,OpenRefine 2.6,I would like to report something but I don't know how,I would like to report something but I don't know how,,no,What for?
24/07/2014 15:02:24,Open Data / Government enthusiasts,Less than once a month,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, assessing data quality",,,,,,,,,,,,,2,,,,"The functions of data normaization is really powerfull and easy to use. U don't find similar finction in audit tools like ACL, wich i also use for my work.",,,,,,,"I really like open refine, but for now i've not had many opportunities to use it. I hope",,Less than 6 months,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata),OpenRefine 2.6,I would like to report something but I don't know how,I would like to report something but I don't know how,,no,Don't like cloud
24/07/2014 21:49:44,Librarians,A few times a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,I mainly use Open Refine to cluster terms by Levenshtein and Metaphone methods. This helps identify potential typos and small differences in my name authority file (a large controlled list of terms). ,"In Excel you can use Levenshtein and metaphone via VB code, but I only found how to do this between single terms. I want to do it with all terms in my dataset. Open Refine is the only tool that I found to do this. ",,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Immediate answer,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,Privacy concerns about the data ingested by OpenRefine
25/07/2014 03:35:59,Open Data / Government enthusiasts,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,4,,,,"Flexible, powerful organising idea of tables, RDF support, powerful scripting, being able to re-do a clean up",Python?,,Prime data cleaner and data masher,,,,,,More than 2 years,,,,,,,,,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,I have to wait to get my answer,Not using this channel,Not using this channel,Not using this channel,Immediate answer,RDF extension - by DERI,OpenRefine 2.6,"I reported something, it is fixed and I am happy","I have nothing to report, I am happy how things are.",,yes,"Collaboration with others, and being able to run transforms as a service."
25/07/2014 14:14:13,ancient history scholars,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, develop dataset statistics",,,,,,,,,,,,,3,,,,"easy import, faceting, filtering, export",,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,The answer was a lead and I needed to explore based on it,Not using this channel,Answer the question and went beyond expectation,Not using this channel,I found a solution before my request been answered,I found a solution before my request been answered,Not using this channel,I have to wait to get my answer,RDF extension - by DERI,OpenRefine 2.6,I would like to report something but I don't know how,I would like to report something but I don't know how,,no,performance
25/07/2014 14:22:52,Research Purpose,Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,3,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,,no,
25/07/2014 15:18:37,Transport Engineering,Less than once a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,3,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,The answer was a lead and I needed to explore based on it,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I have to wait to get my answer,I have to wait to get my answer,I found a solution before my request been answered,DBpedia extension - by Zemanta,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
25/07/2014 23:22:24,Librarians,A few times a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,"Free, locally hosted, recommended by peers ",Excel,,A fast way to clean data ,,,,,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,I found a solution before my request been answered,I found a solution before my request been answered,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,,no,I worry about data privacy/security. 
26/07/2014 00:36:55,For Profit / Business,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,,,,,,,,,,1 to 2 years,,,,,,,,,The answer was a lead and I needed to explore based on it,I got an answer and it is working,The answer was a lead and I needed to explore based on it,I didn't get my answer / the answer was not helpful,The answer was a lead and I needed to explore based on it,No response to my question,I found a solution before my request been answered,No response to my question,I found a solution before my request been answered,I found a solution before my request been answered,DBpedia extension - by Zemanta,I don't know,I reported something and nothing happen,I would like to report something but I don't know how,,yes,
26/07/2014 17:42:34,Open Data / Government enthusiasts,Less than once a month,,,,"Understanding data you don't own, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,1,,,,Facetted search,no one,,A powerful tool to clean and understand data,,,,,,Less than a month,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Immediate answer,I found a solution before my request been answered,,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,Difficulties in installing on Windows
26/07/2014 21:19:33,Data journalists,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,Answer the question and went beyond expectation,Not using this channel,I have to wait to get my answer,Immediate answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
26/07/2014 23:31:29,Research Purpose,Everyday,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,3,,,,,No idea. Someone mentioned Google Refine to me and it was the answer to all my problems.,,"Yes, most of my classmates.",,,,,,1 to 2 years,,,,,,,,,The answer was a lead and I needed to explore based on it,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Answer the question and went beyond expectation,I have to wait to get my answer,I found a solution before my request been answered,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,I reported something and nothing happen,I would like to report something but I don't know how,,yes,
27/07/2014 01:42:17,Semantic Web,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Answer the question and went beyond expectation,Answer the question and went beyond expectation,Answer the question and went beyond expectation,Answer the question and went beyond expectation,Not using this channel,I have to wait to get my answer,I have to wait to get my answer,I have to wait to get my answer,I have to wait to get my answer,"DBpedia extension - by Zemanta, RDF extension - by DERI",I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
28/07/2014 02:00:08,Open Data / Government enthusiasts,A few times a month,,,,"Data transformation (one format to another), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,2,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
28/07/2014 09:46:30,information management,Once or twice a week,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,3,,,,its easy to use,-,,-,,,,,,6 to 12 months,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,I found a solution before my request been answered,Not using this channel,Not using this channel,I found a solution before my request been answered,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Stats extension updated by sparkica for Refine 2.5 +",Google Refine 2.5,,"I have nothing to report, I am happy how things are.",,no,
