Timestamp,"Field, discipline, community you identify with 
Choose the categories which best represent you",On a scale from 1 to 10 how often do you use OpenRefine in a professional environment?,In which languages do you use OpenRefine (both its interface and the datasets you work with)?,How long have you been using OpenRefine?,How would you rate your skills using OpenRefine,How likely is it that you would recommend OpenRefine to a friend or colleague?,usage_frequency,"How frequently do you perform the following actions in OpenRefine? [Using facets for data exploration, analyzing, and making better sense of datasets]","How frequently do you perform the following actions in OpenRefine? [Normalization, cleaning, and transformation from the menu only]","How frequently do you perform the following actions in OpenRefine? [Normalization, cleaning, and transformation using GREL]",How frequently do you perform the following actions in OpenRefine? [Reconcile using reconciliation services],How frequently do you perform the following actions in OpenRefine? [Extend data using reconciliation services],How frequently do you perform the following actions in OpenRefine? [Using REST APIs (ie Fetch URLs)],How frequently do you perform the following actions in OpenRefine? [Saving operation history to create repeatable workflows],How frequently do you perform the following actions in OpenRefine? [Preparing data for visualization (outside OpenRefine)],How frequently do you perform the following actions in OpenRefine? [Preparing a file before loading it to another system (data migration)],"How frequently do you perform the following actions in OpenRefine? [Publishing data directly from OpenRefine to Wikibase, Wikidata, or WikiCommons]","How frequently do you perform the following actions in OpenRefine? [Working on taxonomies, thesauri, vocabularies]",Which features make you choose OpenRefine over other tools? Which alternative tools would you use if OpenRefine was not available to you?,Which version(s) of OpenRefine do you run? Mark all that apply.,Who installed OpenRefine on your computer?,Which Operating System are you using?,Which browsers do you use with OpenRefine?,What is the current amount of RAM you have allocated to OpenRefine? (see increasing memory allocation). Use the Other option to indicate the how much RAM you have allocated to OpenRefine,Which reconciliation services do you use?,Which OpenRefine extensions do you use?,Which OpenRefine unsupported client libraries do you use?,Anything else you would like to add?
8/22/2024 10:05:24,Libraries|Research and Academic|Data science|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap,5,English,2 to 5 years,3,10,2. Once per week,Once per week,Once per week,Once per month,Once per month,Once per month,Once per month,Once per week,Once per month,Once per week,Once per month,Never,It can easily work on large datasets in a fraction of the processing time and provides simple information on the set especially with an undo and history. I would use Python if OpenRefine wasn't avaialble.,,Myself,Linux,Firefox,116000 M,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",I did not know that there are client libraries for OpenRefine,"I really wish there was a setting config in the GUI that would highlight what could be modified and what are the current configuration files even if it cant be modified from the menu. This would expose what could be customized by the user in the config and provide a guide on how to extend or what settings could be modified. In particular this could be used to highlight new defaults and new reconciliation services and extension both which are only really visible if you dive deep into the help or are working in one of those areas. The ability to discover that they exist at all, if they changed, or their current status (ie broken, working, slowed) etc would benefit from a settings menu in the OpenRefine GUI for cross discovery and lowering the entry point to OpenRefine's more useful integrations."
8/23/2024 21:35:49,Wikimedia (Wikidata Wikimedia Commons…),7,"English, Portuguese",1 to 2 years,5,10,4. Rarely,Rarely,Rarely,Rarely,Once per week,Rarely,Rarely,Once per month,Rarely,Rarely,Once per week,Rarely,"1. OpenRefine has many useful features for a Wikimedian, uploading images to Commons, editing SDC, editing Wikidata, and reconciliation.  2. Before using OpenRefine I used pywikibot, command line, pattypan, quickstatments, and API queries to do reconciliation with Wikidata.",,Myself,Windows,Chrome,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",I don’t use any OpenRefine client libraries,
8/25/2024 6:30:52,Libraries|Research and Academic|Data science|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase|Education / training,7,"English, Persian (fa)",2 to 5 years,4,10,2. Once per week,Once per week,Once per month,Once per month,Once per month,Once per month,Never,Rarely,Rarely,Once per month,Never,Once per week,"Faceting, clustering, cleaning - I have no alternative",,Myself,Windows,Chrome|Edge,10240 M,reconcile-csv (Clojure-based by Open Knowledge Labs)|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),"Wikidata extension, RDF Transform by AtesComp, OpenRefine Command Palette by Albin Larsson, FAIR metadata - by FAIRDataTeam, VIB-Bits, Named-Entity Recognition (NER) - by Ruben Verborgh and Stuart Kenny, RDF extension - by DRI and Stuart Kenny","I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries","Reconciliation locally is a very useful feature. I suggest local reconciliation based on projects in Openrefine instead of using external services."
8/25/2024 9:09:27,Arts cultural sector cultural heritage|Other non-profit sector|Goverment,5,"English, Portuguese",More than 5 years,4,10,3. Once per month,Once per month,Once per month,Once per week,Once per month,Rarely,Rarely,Rarely,Once per month,Once per month,Never,Never,,The latest version of OpenRefine 3.8,Myself,Linux,Chrome|Firefox,Default Setting,csv-reconcile (Python-based by Douglas Mennella),I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/25/2024 21:45:42,Libraries,8,English,More than 5 years,3,8,2. Once per week,Once per week,Once per month,Once per month,Never,Never,Rarely,Rarely,Once per week,Once per month,Never,Never,Excel,The latest version of OpenRefine 3.8,Myself,Windows,Chrome,2048 M,I do not use any reconciliation service(s) inside OpenRefine,VIB-Bits,I did not know that there are client libraries for OpenRefine,
8/26/2024 3:39:13,Data science,9,English,2 to 5 years,4,10,3. Once per month,Once per month,Once per day,Once per week,Rarely,Rarely,Never,Never,Never,Once per week,Never,Rarely,,", The latest version of OpenRefine 3.8",Myself,Windows,Edge|Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,I did not know that there are extensions for OpenRefine,,
8/26/2024 3:47:04,Libraries|Research and Academic,6,English,1 to 2 years,5,10,1. Once per day,Once per day,Once per day,Once per day,Once per day,Once per week,Once per day,Once per day,Once per month,Once per month,Rarely,Once per month,"Facets, Import-Export, Availability of Extensions, Open-source nature",,Myself,Linux,Chrome|Firefox,10240 M,,"Wikidata extension, RDF Transform by AtesComp, SNAC extension , VIB-Bits, Named-Entity Recognition (NER) - by Ruben Verborgh and Stuart Kenny, RDF extension - by DRI and Stuart Kenny",I did not know that there are client libraries for OpenRefine,
8/26/2024 6:16:39,For-profit sector / Business / Consulting,9,French,2 to 5 years,2,8,2. Once per week,Once per week,Rarely,Once per week,Never,Never,Never,Once per week,Once per week,Once per month,Never,Never,Selection and transformation through RegEx.,,Myself,Windows,Edge,I don’t know,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/26/2024 11:12:28,Research and Academic|Arts cultural sector cultural heritage|Digital humanities|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase,5,"English, Dutch",2 to 5 years,3,10,2. Once per week,Once per week,Once per week,Once per month,Once per month,Rarely,Rarely,Rarely,Rarely,Rarely,Once per month,Never,Analyzing data  with facets and filters and clusters! Reconciliation with Wikidata and in near future hopefully to local Wikibase,"The latest version of OpenRefine 3.8, I don't know",IT staff,Windows,Chrome|Firefox,Increased without providing the value,My organization’s / project’s own / in-house / custom reconciliation service|Bionomia ID|GBIF|Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons|I do not use any reconciliation service(s) inside OpenRefine,"I did not know that there are extensions for OpenRefine, I don’t use any OpenRefine extensions, another thing for me to look into I guess...",I did not know that there are client libraries for OpenRefine,"Regarding the questions in this survey: 
1) I found the question ""How frequently..."" difficult to answer while it has it peaks and flaws, so it is not quite once a moth or week, but for me  I use OR more project wise, so for a certain period of time I use it several hours per day for a few weeks and then there might be a pause for quite some time...
2) the Question ""Who installed OpenRefine on your computer? *"" allows only one answer although several are possible, f.e. for those who work with multiple installations, both private and work for example (as for me)"
8/26/2024 16:11:02,Data science|Other non-profit sector,8,English,2 to 5 years,4,8,3. Once per month,Once per month,Once per month,Once per week,Never,Never,Never,Once per month,Rarely,Once per month,Never,Never,"Sheets, R, Excel",,Myself,Mac,Chrome|Edge|Firefox|Safari,2048 M,,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/26/2024 16:12:39,Research and Academic,8,"English, Spanish",2 to 5 years,3,9,3. Once per month,Once per month,Once per month,Never,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Never,"Reconciliation services, fetching data, big data",,Myself,Windows,Firefox,8192,GBIF|ORCID|Wikidata (hosted at wikidata.reconci.link),,I did not know that there are client libraries for OpenRefine,
8/27/2024 4:12:17,Film and television post production,10,English,2 to 5 years,4,10,1. Once per day,Once per day,Rarely,Once per week,Never,Never,Never,Never,Rarely,Once per week,Never,Never,"Facets for analysis and GREL for transform. Alternatively, I'd write my own command-line tools and use spreadsheet applications for viewing.",,Myself,Mac,Chrome|Safari,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/27/2024 8:55:59,Data science|Semantic Web|For-profit sector / Business / Consulting,9,"English, Greek",2 to 5 years,4,9,1. Once per day,Once per day,Once per day,Once per day,Once per month,Once per month,Once per week,Rarely,Once per week,Once per day,Never,Rarely,"I like the ability to explore data with facets, combine them and use GREL to edit the data. My alternative tool is SQL and text editors like sublime text and Visual Studio Code with regular expressions",", OpenRefine 3.5, OpenRefine 3.4",Myself,Windows,Edge,20000 M,Open Library (via refine.codefork.com)|ORCID|Wikidata (hosted at wikidata.reconci.link),RDF extension - by DRI and Stuart Kenny,I did not know that there are client libraries for OpenRefine,
8/28/2024 7:36:30,Civic Tech|Data science|Wikibase,7,English,Less than 6 months,3,8,4. Rarely,Rarely,Once per month,Once per month,Rarely,Never,Never,Rarely,Once per day,Once per day,Once per day,Never,"Speed, ease - quickstatements",I run a recent (unstable) development version or the latest snapshot release (3.8+),Myself,Mac,Firefox,Default Setting,My organization’s / project’s own / in-house / custom reconciliation service,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,"The inability to update imported data is a limiting factor. ODS spreadsheets fail to upload."
8/29/2024 3:41:58,Education / training,10,Spanish,I have never used OpenRefine,5,10,5. Never,Never,Rarely,Once per month,Once per week,Once per day,Once per week,Once per month,Rarely,Never,Rarely,Once per month,,OpenRefine 3.4,Myself,Linux,I don’t know,I don’t know,I don’t know,VIB-Bits,C# / .NET OpenRefine client,
8/29/2024 5:25:56,Research and Academic|Data science|Education / training,10,"English, Arabic, French",2 to 5 years,4,10,3. Once per month,Once per month,Once per month,Once per month,Once per month,Never,Never,Once per month,Once per month,Once per month,Never,Once per month,Every features I'm using,", The latest version of OpenRefine 3.8",Myself,Linux,Chrome|Firefox|Opera,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/29/2024 17:01:05,Libraries,9,"English, Chinese, Spanish, German, Italian",More than 5 years,4,10,1. Once per day,Once per day,Once per day,Once per day,Rarely,Rarely,Rarely,Once per week,Once per month,Once per month,Never,Rarely,"GREL and JYTHON, customizable max file size for large sets, easy JSON load for operation history and option code for custom export; alternative tools: Google Sheets, R Studio, BigQuery/GoogleSQL, Excel",,Myself,Windows,Chrome|Firefox|Safari,2048 M,Library of Congress Subject Headings (LCSH),I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,"Thank you for making this incredible resource available. OpenRefine helps me immensely in my work, and I rely on it for many projects. I enjoy that there is always more to learn and new ways to use this tool."
8/30/2024 4:31:58,Research and Academic|Wikimedia (Wikidata Wikimedia Commons…)|Education / training,0,English,2 to 5 years,5,10,1. Once per day,Once per day,Once per day,Once per week,Once per day,Once per day,Rarely,Once per week,Rarely,Rarely,Once per day,Once per month,"Ability to work directly with Wikidata, Orcid, scrape webpages etc. If no OpenRefine, I would struggle with GoogleSheets, Excel and bulk edit tools like QuickStatements",", The latest version of OpenRefine 3.8",Myself,Mac,Firefox,Increased without providing the value,ORCID|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons","I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries","keep up the good work! OpenRefine is amazing and I would not be doing this work without it"
8/30/2024 5:16:31,Libraries|Research and Academic|Data science,10,"English, French",More than 5 years,4,10,2. Once per week,Once per week,Once per week,Once per week,Once per month,Once per month,Once per week,Once per month,Once per month,Once per week,Never,Rarely,,The latest version of OpenRefine 3.8,Myself,Windows,Firefox,2048 M,ORCID|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
8/30/2024 8:08:20,Research and Academic|Data science,8,English,More than 5 years,4,8,3. Once per month,Once per month,Once per month,Once per month,Never,Never,Never,Never,Rarely,Once per month,Never,Never,Interactive data explortation and transformation; Python,,Myself,Windows,Chrome,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,VIB-Bits,"I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries",
8/30/2024 18:59:13,Libraries|Research and Academic|Digital humanities|Education / training,10,English,More than 5 years,5,10,1. Once per day,Once per day,Once per day,Once per day,Rarely,Rarely,Once per month,Once per month,Rarely,Once per week,Never,Never,"flexible bulk transformation with visual preview and explore results, ease of using GREL, and the templating output feature. If not Refine, maybe python.",", The latest version of OpenRefine 3.8",Myself,Linux,Chrome|Firefox,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/31/2024 1:47:06,Data science|Semantic Web|OpenStreetMap|Wikibase|For-profit sector / Business / Consulting|We organize legal data|targetting Legal Aid and similar communities,9,English,More than 5 years,4,7,2. Once per week,Once per week,Once per week,Once per week,Rarely,Once per month,Rarely,Rarely,Rarely,Once per week,Once per week,Once per week,"Facets, Python for cell transformations, Schema for loading via quickstatements, NEVER had data corruption, Web interface, Ability to do rollbacks",The latest version of OpenRefine 3.8,I maintain a hosted version of OpenRefine,Linux,Firefox,I don’t know,VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,"The tone in the newsgroup is FANTASTIC. The user manual/documentation has hugely improved. The next area for attention IMO is: 1) UI (adjust columns, make configuring manifests easier/clearer) 2) Plugins/Services. Many are VERY DATED and look abandonned. This needs a referesh. The tool is incredible, but the ability to interact easily with HIGH QUALITY data reconciliation services is a weakness. A weakness that is fixable."
9/1/2024 6:15:28,Libraries|Data science,9,English,1 to 2 years,4,9,2. Once per week,Once per week,Once per week,Once per day,Once per week,Once per week,Once per week,Once per week,Once per week,Once per week,Never,Never,,The latest version of OpenRefine 3.8,Myself,Windows,Chrome,4096 M,csv-reconcile (Python-based by Douglas Mennella),GeoJSON Export - by Labian Gashi,I don’t use any OpenRefine client libraries,
9/2/2024 8:10:10,Other non-profit sector,7,English,2 to 5 years,3,7,4. Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Never,Preparing sql for upload to database. No alternative?,I run a recent (unstable) development version or the latest snapshot release (3.8+),Myself,Mac,Chrome,Default Setting,reconciliation against a SPARQL endpoint via the RDF extension,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
9/2/2024 21:07:09,Libraries,10,"English, Spanish",More than 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Never,Never,Once per month,Once per month,Never,Never,,"The latest version of OpenRefine 3.8, OpenRefine 3.7, OpenRefine 3.6",Myself,Windows,Chrome|Firefox|Brave,8000 M,reconcile-csv (Clojure-based by Open Knowledge Labs)|DBpedia|Library of Congress Subject Headings (LCSH)|ORCID|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),"Wikidata extension, Named-Entity Recognition (NER) - by Ruben Verborgh and Stuart Kenny, DBpedia extension - by Zemanta",I don’t use any OpenRefine client libraries,
9/3/2024 13:08:08,Research and Academic|Digital humanities|Data science|Education / training,10,German,More than 5 years,5,10,1. Once per day,Once per day,Once per week,Once per day,Once per month,Once per month,Once per month,Once per day,Once per day,Once per day,Never,Once per month,Bulk actions are easy and transparent,", The latest version of OpenRefine 3.8",Myself,Windows,Chrome,16000 M,My organization’s / project’s own / in-house / custom reconciliation service|csv-reconcile (Python-based by Douglas Mennella),"Wikidata extension, OpenStreetMap (OSM) Extractor - by Labian Gashi, Diff plugin - by VIB-Bits",I don’t use any OpenRefine client libraries,
9/4/2024 6:00:00,Civic Tech|Research and Academic|Data science|Semantic Web,8,"English, German",2 to 5 years,5,10,1. Once per day,Once per day,Once per day,Once per day,Once per day,Once per day,Once per week,Rarely,Once per week,Once per week,Never,Once per month,Python,", The latest version of OpenRefine 3.8",Myself,Windows,Firefox,12000 M,My organization’s / project’s own / in-house / custom reconciliation service|csv-reconcile (Python-based by Douglas Mennella)|Getty Vocabularies (TGN ULAN AAT)|lobid Integrated Authority File (GND)|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I don’t use any OpenRefine client libraries,
9/4/2024 12:45:50,Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap,8,English,2 to 5 years,3,10,2. Once per week,Once per week,Once per week,Once per week,Once per week,Once per week,Rarely,Once per day,Once per week,Rarely,Once per week,Never,"Reconsile and update wikidata and other wikibase instances. Quick statements, Pywikibot, My own bot","The latest version of OpenRefine 3.8, OpenRefine 3.7",Myself,Linux,Chrome|Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",,"Open Refine is a great tool used to work with data. Usually I use Open Refine with my own code to cleanup data, prepare data and upload data to wikidata and some other wikibases."
9/5/2024 4:39:12,Other non-profit sector|natural history collections,10,"English, Danish",2 to 5 years,4,10,4. Rarely,Rarely,Once per week,Once per day,Once per month,Once per month,Rarely,Rarely,Never,Once per week,Never,Rarely,"Data cleaning tools, clustering (!), reconciliation services.",The latest version of OpenRefine 3.8,Myself,Windows,Chrome,8192 M,International Plant Names Index,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
9/5/2024 7:08:33,Libraries|Research and Academic|Digital humanities|Data science|Semantic Web|Education / training,9,English,More than 5 years,4,10,1. Once per day,Once per day,Once per week,Once per month,Rarely,Rarely,Rarely,Once per day,Once per week,Once per week,Never,Never,"Faceting, row and record, and finding patterns","OpenRefine 3.6, OpenRefine 3.5",Myself,Linux,Chrome|Firefox,Default Setting,DBpedia|Library of Congress Subject Headings (LCSH),"I don’t use any OpenRefine extensions, GeoJSON Export - by Labian Gashi",I did not know that there are client libraries for OpenRefine,
9/5/2024 10:23:54,Libraries|Data science|Other non-profit sector,9,English,More than 5 years,4,10,3. Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Never,Never,Once per month,Once per month,Never,Once per month,,,Myself,Windows,Chrome,Default Setting,I do not use any reconciliation service(s) inside OpenRefine|I don’t know,"I did not know that there are extensions for OpenRefine, I don’t use any OpenRefine extensions","I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries",
9/5/2024 13:02:51,Data science,7,Spanish,Less than 6 months,1,7,1. Once per day,Once per day,Once per week,Rarely,Rarely,Rarely,Once per week,Once per week,Once per day,Once per day,Rarely,Once per month,la eficiencia en depurar  bases de datos quiza podria utilizar como una herramienta alternativa el Rstudio,,Myself,I don’t know,Chrome,I don’t know,I don’t know,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,"no"
9/6/2024 10:47:43,Research and Academic,10,English,More than 5 years,4,10,1. Once per day,Once per day,Once per day,Once per day,Never,Never,Never,Rarely,Once per day,Once per month,Never,Rarely,haven't seen anything else that allows me to wrangle data as effectively,OpenRefine 3.5,Myself,Windows,Chrome,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I don’t use any OpenRefine client libraries,
9/6/2024 11:15:02,Data science|Education / training,6,English,More than 5 years,4,10,2. Once per week,Once per week,Once per month,Once per month,Rarely,Rarely,Rarely,Rarely,Once per month,Once per week,Never,Rarely,R,,Myself,Mac,Firefox,Default Setting,DBpedia|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),"Wikidata extension, OpenStreetMap (OSM) Extractor - by Labian Gashi",Python OpenRefine client,
9/6/2024 11:49:21,Libraries,10,English,2 to 5 years,2,9,3. Once per month,Once per month,Once per month,Once per month,Never,Never,Never,Rarely,Never,Never,Never,Never,Being able to handle large datasets (unlike Excel),,IT staff,Windows,Edge,2048 M,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
9/8/2024 4:43:41,Data science|For-profit sector / Business / Consulting,9,English,2 to 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Never,Never,Never,Once per month,Never,Once per month,Never,Never,,The latest version of OpenRefine 3.8,Myself,Linux,Firefox,256000 M,I do not use any reconciliation service(s) inside OpenRefine,"I did not know that there are extensions for OpenRefine, I don’t use any OpenRefine extensions","I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries","I would like to see integration of Perplexity AI API in OpenRefine."
9/8/2024 7:54:32,Libraries|Research and Academic|Digital humanities|Data science|Semantic Web|Education / training,9,English,More than 5 years,4,9,2. Once per week,Once per week,Once per week,Once per week,Rarely,Never,Rarely,Once per month,Once per month,Once per month,Rarely,Never,,,Myself,Mac,Safari,Default Setting,Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
9/8/2024 18:43:28,Research and Academic,5,English,Less than 6 months,3,8,3. Once per month,Once per month,Once per month,Never,Once per week,Once per week,Once per month,Never,Never,Once per month,Never,Once per week,"I'm not aware of any tools which do the same as OpenRefine (being able to reconcile terms against multiple external sources). Without OpenRefine, I would probably try manual or VLOOKUP-based approaches",The latest version of OpenRefine 3.8,Myself,Windows,Firefox,I don’t know,csv-reconcile (Python-based by Douglas Mennella)|Getty Vocabularies (TGN ULAN AAT)|Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
9/8/2024 19:45:19,Research and Academic|Wikimedia (Wikidata Wikimedia Commons…)|Education / training,8,English,More than 5 years,3,10,2. Once per week,Once per week,Once per week,Once per week,Once per week,Once per week,Never,Once per month,Never,Rarely,Once per week,Never,Reconcile to wikidata. Manual wikidata edits - and then give up if I couldn't find a tool that was useful.,", The latest version of OpenRefine 3.8",Myself,Mac,Firefox|Safari,Default Setting,Wikidata (hosted at wikidata.reconci.link)|ROR,,,
9/9/2024 8:49:20,Libraries|Research and Academic|Arts cultural sector cultural heritage|Digital humanities|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase,10,French,More than 5 years,4,10,1. Once per day,Once per day,Once per week,Once per week,Once per week,Once per month,Rarely,Rarely,Rarely,Once per month,Once per week,Rarely,Reconciliaton. Excel ? Pandas ?,The latest version of OpenRefine 3.8,Myself,Windows,Chrome,4096 M,My organization’s / project’s own / in-house / custom reconciliation service|reconcile-csv (Clojure-based by Open Knowledge Labs)|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I did not know that there are client libraries for OpenRefine,"Thank you <3"
9/9/2024 18:32:14,Arts cultural sector cultural heritage|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|Education / training,6,English,More than 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Never,Once per month,Never,Rarely,Never,Never,,,Myself,Windows,Chrome,I don’t know,Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I did not know that there are client libraries for OpenRefine,
9/9/2024 19:38:49,Research and Academic,9,English,More than 5 years,4,9,3. Once per month,Once per month,Once per month,Never,Never,Never,Never,Once per month,Once per week,Once per month,Never,Never,I would likely do the alternative work in Python via notebooks.,The latest version of OpenRefine 3.8,Myself,Linux,Firefox,4000 M,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,"I use the embedded jython / Python option frequently... even if it is a bit out of date. I infrequently use GREL. All that said, OpenRefine is a much preferred environment for this work compared to Jupyter notebooks for this work."
9/10/2024 9:52:40,Libraries|Research and Academic,10,English,2 to 5 years,2,10,4. Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Data cleanup and parsing (mostly through facets) and I don't know what other tool could do it as well.,,Myself,Windows,Chrome|Edge,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
9/10/2024 14:28:05,Libraries|Research and Academic|Education / training,1,English,2 to 5 years,2,10,4. Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Rarely,I don't know of a comparable tool.  Free and open source software this powerful is sui generis.  We're kinda struggling in the Carpentries to explore alternatives now that Microsoft and Apple and many employers' IT departments make it so hard to install FOSS.,,Myself,Windows,Chrome|Firefox,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
9/10/2024 14:58:18,Libraries|Research and Academic|Arts cultural sector cultural heritage|Digital humanities,10,English,Less than 6 months,4,8,1. Once per day,Once per day,Once per week,Once per day,Once per day,Once per week,Never,Rarely,Rarely,Rarely,Never,Once per week,,,Myself,Windows,Chrome,2048 M,My organization’s / project’s own / in-house / custom reconciliation service|Getty Vocabularies (TGN ULAN AAT)|Library of Congress Subject Headings (LCSH)|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),"I don’t use any OpenRefine extensions, Named-Entity Recognition (NER) - by Ruben Verborgh and Stuart Kenny",I did not know that there are client libraries for OpenRefine,
9/10/2024 15:02:05,Libraries|Arts cultural sector cultural heritage|Wikimedia (Wikidata Wikimedia Commons…),5,"English, French",More than 5 years,4,9,1. Once per day,Once per day,Once per week,Once per day,Once per day,Once per week,Once per week,Once per week,Rarely,Once per month,Once per month,Rarely,"I sometimes use Calc but it's very limited, same for QuickStatements...",", The latest version of OpenRefine 3.8",Myself,Windows,Firefox,Default Setting,Getty Vocabularies (TGN ULAN AAT)|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",,"Thanks for all the great work!"
9/10/2024 15:14:25,Libraries|Research and Academic|Arts cultural sector cultural heritage|Digital humanities,7,English,1 to 2 years,2,8,4. Rarely,Rarely,Rarely,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,"Freely available and easy to use once you learn how. Before OpenRefine, I was cleaning data manually.",,Myself,Windows,Chrome,Default Setting,My organization’s / project’s own / in-house / custom reconciliation service|Getty Vocabularies (TGN ULAN AAT)|Library of Congress Subject Headings (LCSH)|Wikimedia Commons,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
9/10/2024 15:26:10,Data journalism|Research and Academic|Museum Collections,10,English,1 to 2 years,1,10,5. Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Data manipulation power. If n/a then I would use Google Sheets.,I don't know,Myself,Mac,Chrome,I don’t know,GBIF,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
9/10/2024 16:05:16,Developer,10,English,1 to 2 years,3,10,2. Once per week,Once per week,Once per week,Once per month,Once per day,Once per month,Once per month,Once per day,Never,Never,Never,Never,The ability to upload directly to wikidata and ease of use in cleaning data.I do not know much about other tools but ms excel would be a very ineffective replacement for me.,,Myself,Mac,Chrome,I don’t know,csv-reconcile (Python-based by Douglas Mennella)|Getty Vocabularies (TGN ULAN AAT)|Wikidata (hosted at wikidata.reconci.link),Wikimedia Commons,I did not know that there are client libraries for OpenRefine,
